Fed Id: 1679958048, Round - 30, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 31, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1679958048, Round - 1, Clients Trained: [8086,8089], Accuracy: 0.5132
Fed Id: 1679958048, Round - 2, Clients Trained: [8086,8089,8088], Accuracy: 0.5099
Fed Id: 1679958048, Round - 3, Clients Trained: [8086,8089,8088], Accuracy: 0.5099
Fed Id: 1679958048, Round - 0, Clients Trained: [8086,8089,8088], Accuracy: 0.5816
Fed Id: 1679958048, Round - 1, Clients Trained: [8086,8089,8088], Accuracy: 0.6474
Fed Id: 1679958048, Round - 2, Clients Trained: [8086,8089,8088], Accuracy: 0.6951
Fed Id: 1679958048, Round - 3, Clients Trained: [8086,8089,8088], Accuracy: 0.6951
Fed Id: 1679958048, Round - 0, Clients Trained: [8086,8089,8088], Accuracy: 0.7044
Fed Id: 1679958048, Round - 1, Clients Trained: [8086,8089,8088], Accuracy: 0.7167
Fed Id: 1679958048, Round - 2, Clients Trained: [8086,8089,8088], Accuracy: 0.7244
Fed Id: 1679958048, Round - 3, Clients Trained: [8086,8089,8088], Accuracy: 0.7321
Fed Id: 1679958048, Round - 0, Clients Trained: [8086,8089,8088], Accuracy: 0.7342
Fed Id: 1679958048, Round - 1, Clients Trained: [8086,8089,8088], Accuracy: 0.7406
Fed Id: 1679958048, Round - 2, Clients Trained: [8086,8089,8088], Accuracy: 0.7478
Fed Id: 1679958048, Round - 3, Clients Trained: [8086,8089,8088], Accuracy: 0.7513
Fed Id: 1679958048, Round - 4, Clients Trained: [8086,8089,8088,8085], Accuracy: 0.7616
Fed Id: 1679958048, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1679958048, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1679958048, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1679958048, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1679958048, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1679958048, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1679958048, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1679958048, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1679958048, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1679958048, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1679958048, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1679958048, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1679958048, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1679958048, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1679958048, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1798194256, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1798194256, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 2056758352, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 2056758352, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 2056758352, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 2056758352, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 2056758352, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 2056758352, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 2056758352, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 2056758352, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: -1736854448, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: -1736854448, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: -1736854448, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: -1736854448, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: -1736854448, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: -1736854448, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: -1736854448, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 2144560208, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 2144560208, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 2144560208, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
